timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
278.0,DEV_006,787176f17fbdca08,8,ChaCha20-Poly1305-Lite,33,49,48400,0.024384,352502.342843117,True,GW_2,18.19046022148132,-92.6644593944199,5,868.1,7,500000,-92.6644593944199,278.0,278.024384
278.0,DEV_016,9439ff9ffb85875d,8,Advanced-ECC-AES,44,224,1405300,0.17676799999999998,2163033.283811834,True,GW_2,22.60722229291675,-91.10986387937318,6,868.1,7,250000,-91.10986387937318,278.0,278.176768
278.0,DEV_017,17ffad60894390d1,8,Hybrid-ECC-AES,19,67,136200,0.030784,357009.9384631484,False,GW_1,22.593834649880343,-88.9069200038475,5,868.1,7,500000,-88.9069200038475,278.0,278.030784
285.0,DEV_010,4619a09041ab026b,1,Hybrid-ECC-AES,45,93,100900,1.642496,16862048.406586755,False,GW_1,17.08844993375748,-96.60104056885372,5,867.5,12,250000,-96.60104056885372,285.0,286.642496
289.0,DEV_005,58ea5af6ab6a0941,7,ChaCha20-Poly1305-Lite,49,65,24400,0.369664,7867583.637984228,False,GW_1,31.147538013450337,-83.37630880762208,5,868.3,10,250000,-83.37630880762208,289.0,289.369664
304.0,DEV_004,0fdf179ede7911aa,4,AES-128-GCM,11,39,72700,0.077056,850858.745599224,False,GW_1,25.26626953908169,-87.99742070214067,5,868.5,8,250000,-87.99742070214067,304.0,304.077056
304.0,DEV_007,e3d098a80cc45ce0,4,ChaCha20-Poly1305-Lite,41,57,28200,0.308224,6920811.008035603,False,GW_2,26.526165774872087,-84.44884005816404,5,867.9,11,500000,-84.44884005816404,304.0,304.308224
304.0,DEV_008,acd53140c023c37a,4,ChaCha20-Poly1305-Lite,48,64,23600,0.097536,1818310.923504727,False,GW_2,33.070976494238025,-77.00970239338878,5,867.3,9,500000,-77.00970239338878,304.0,304.097536
304.0,DEV_011,3e9eab81acc2d90c,4,ChaCha20-Poly1305,32,60,22700,0.028224,427343.74388669414,False,GW_1,27.64170666587854,-83.56718325674436,5,867.7,7,500000,-83.56718325674436,304.0,304.028224
304.0,DEV_013,3f1fdbaceaf6af6d,4,AES-128-GCM,26,54,53100,0.184832,4422971.538182129,False,GW_2,33.107000403410275,-82.11500583475846,4,867.7,8,125000,-82.11500583475846,304.0,304.184832
304.0,DEV_015,43f01e2b7ac8a8f8,4,AES-128-GCM,10,38,51900,0.45260799999999995,9325121.55258484,False,GW_2,28.387611474433566,-83.75026943825137,5,868.3,12,500000,-83.75026943825137,304.0,304.452608
305.0,DEV_020,b2c201b84a9af945,5,Advanced-ECC-AES,37,217,1665100,0.171648,4234997.396956361,False,GW_1,28.07997613026034,-84.02562481535433,6,868.5,7,250000,-84.02562481535433,305.0,305.171648
309.0,DEV_006,787176f17fbdca08,9,ChaCha20-Poly1305-Lite,33,49,48300,0.024384,352502.342843117,False,GW_1,13.411174277318388,-98.39594046730998,5,867.7,7,500000,-98.39594046730998,309.0,309.024384
309.0,DEV_016,9439ff9ffb85875d,9,Advanced-ECC-AES,44,224,1826600,0.17676799999999998,2163033.283811834,False,GW_2,28.23773948721243,-85.58877987246997,6,868.1,7,250000,-85.58877987246997,309.0,309.176768
309.0,DEV_017,17ffad60894390d1,9,Hybrid-ECC-AES,19,67,189800,0.030784,357009.9384631484,False,GW_1,25.69677163239247,-85.53070759722954,5,867.3,7,500000,-85.53070759722954,309.0,309.030784
320.0,DEV_003,9248fc49325b5799,5,ChaCha20-Poly1305,27,55,45500,0.575488,11157630.78527769,False,GW_2,37.868314499024294,-76.23908041009926,5,867.1,11,250000,-76.23908041009926,320.0,320.575488
326.0,DEV_005,58ea5af6ab6a0941,8,ChaCha20-Poly1305-Lite,49,65,88000,0.369664,7867583.637984228,False,GW_1,30.460183492341578,-81.99110109594369,5,867.9,10,250000,-81.99110109594369,326.0,326.369664
336.0,DEV_012,acc35438ae3a96d4,2,ChaCha20-Poly1305,33,61,39200,1.478656,15588865.947580224,False,GW_2,32.862987246737,-83.72682654325764,1,867.1,11,125000,-83.72682654325764,336.0,337.478656
